\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 1   134.1690888  2.4440369e+05 
 1   134.1895233  2.4434442e+05 
 1   134.2099580  2.4436133e+05 
 1   134.2303926  2.4429998e+05 
 1   134.2508271  2.4434600e+05 
 1   134.2712617  2.4432602e+05 
 1   134.2916964  2.4429667e+05 
 1   134.3121309  2.4434230e+05 
 1   134.3325655  2.4429075e+05 
 1   134.3530002  2.4434539e+05 
 1   134.3734347  2.4435912e+05 
 1   134.4143038  2.4441742e+05 
 1   134.4347384  2.4437236e+05 
 1   134.4551730  2.4438977e+05 
 1   134.4756076  2.4439350e+05 
 1   134.4960423  2.4437228e+05 
 1   134.5164768  2.4440066e+05 
 1   134.5369114  2.4434961e+05 
 1   134.5573459  2.4436625e+05 
 1   134.5777806  2.4440508e+05 
 1   134.5982152  2.4437272e+05 
 1   134.6186497  2.4436912e+05 
 1   134.6390843  2.4434495e+05 
 1   134.6595190  2.4433906e+05 
 1   134.6799536  2.4436619e+05 
 1   134.7003881  2.4435928e+05 
 1   134.7208227  2.4434473e+05 
 1   134.7412573  2.4433142e+05 
 1   134.7616918  2.4431606e+05 
 1   134.7821264  2.4433664e+05 
 1   134.8025611  2.4423464e+05 
 1   134.8229957  2.4429281e+05 
 1   134.8434302  2.4435358e+05 
 1   134.8638649  2.4437828e+05 
 1   134.8842995  2.4441445e+05 
 1   134.9047341  2.4436444e+05 
 1   134.9251686  2.4435920e+05 
 1   134.9456032  2.4439062e+05 
 1   134.9660378  2.4437395e+05 
 1   134.9864723  2.4432795e+05 
 1   135.0069070  2.4432159e+05 
 1   135.0273416  2.4434027e+05 
 1   135.0477761  2.4439473e+05 
 1   135.0682107  2.4433234e+05 
 1   135.0886454  2.4438281e+05 
 1   135.1090799  2.4430847e+05 
 1   135.1295145  2.4433980e+05 
 1   135.1499491  2.4432966e+05 
 1   135.1703837  2.4428986e+05 
 1   135.1908182  2.4429727e+05 
 1   135.2112528  2.4430466e+05 
 1   135.2316875  2.4429966e+05 
 1   135.2521220  2.4430159e+05 
 1   135.2725566  2.4432488e+05 
 1   135.2929911  2.4431367e+05 
 1   135.3134258  2.4433695e+05 
 1   135.3338604  2.4432238e+05 
 1   135.3542948  2.4432758e+05 
 1   135.3747295  2.4435555e+05 
 1   135.3951641  2.4440394e+05 
 1   135.4155987  2.4436659e+05 
 1   135.4360332  2.4431066e+05 
 1   135.4564679  2.4436503e+05 
 1   135.4769025  2.4431875e+05 
 1   135.4973370  2.4437803e+05 
 1   135.5177716  2.4436291e+05 
 1   135.5382062  2.4433656e+05 
 1   135.5586407  2.4429697e+05 
 1   135.5790753  2.4434062e+05 
 1   135.5995100  2.4431266e+05 
 1   135.6199445  2.4431867e+05 
 1   135.6403791  2.4430522e+05 
 1   135.6608138  2.4431412e+05 
 1   135.6812483  2.4426941e+05 
 1   135.7016828  2.4420452e+05 
 1   135.7221174  2.4426569e+05 
 1   135.7425521  2.4418134e+05 
 1   135.7629866  2.4424641e+05 
 1   135.7834212  2.4427884e+05 
 1   135.8038559  2.4427333e+05 
 1   135.8242903  2.4430359e+05 
 1   135.8447249  2.4425905e+05 
 1   135.8651595  2.4428203e+05 
 1   135.8855941  2.4430694e+05 
 1   135.9060287  2.4428781e+05 
 1   135.9264633  2.4431939e+05 
 1   135.9468978  2.4430331e+05 
 1   135.9673324  2.4428461e+05 
 1   135.9877670  2.4431250e+05 
 1   136.0082015  2.4426852e+05 
 1   136.0286362  2.4427214e+05 
 1   136.0490708  2.4431034e+05 
 1   136.0695053  2.4430955e+05 
 1   136.0899399  2.4426161e+05 
 1   136.1103745  2.4421702e+05 
 1   136.1308091  2.4426462e+05 
 1   136.1512436  2.4423467e+05 
 1   136.1716783  2.4421700e+05 
 1   136.1921129  2.4421345e+05 
 1   136.2125474  2.4422436e+05 
 1   136.2329819  2.4423031e+05 
 1   136.2534166  2.4425439e+05 
 1   136.2738511  2.4419823e+05 
 1   136.2942857  2.4427102e+05 
 1   136.3147204  2.4428445e+05 
 1   136.3351549  2.4428445e+05 
 1   136.3555894  2.4431814e+05 
 1   136.3760240  2.4429042e+05 
 1   136.3964586  2.4423722e+05 
 1   136.4168932  2.4423638e+05 
 1   136.4373278  2.4424503e+05 
 1   136.4577625  2.4426736e+05 
 1   136.4781969  2.4424817e+05 
 1   136.4986315  2.4423103e+05 
 1   136.5190661  2.4429812e+05 
 1   136.5395007  2.4427900e+05 
 1   136.5599353  2.4427070e+05 
 1   136.5803698  2.4424109e+05 
 1   136.6008044  2.4423984e+05 
 1   136.6212390  2.4425956e+05 
 1   136.6416736  2.4419881e+05 
 1   136.6621082  2.4421019e+05 
 1   136.6825428  2.4424427e+05 
 1   136.7029773  2.4417794e+05 
 1   136.7234119  2.4422958e+05 
 1   136.7438464  2.4419270e+05 
 1   136.7642811  2.4421225e+05 
