kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
3218908,"K01108.03","CONFIRMED",4.15246118,134.57991
3235672,"K01109.01","FALSE POSITIVE",6.7210783,134.7775984
2837111,"K01110.01","CONFIRMED",8.7348852,135.0818
3120276,"K01111.01","FALSE POSITIVE",10.26547688,136.49663
2307199,"K00151.01","CANDIDATE",13.4471791,132.830555
3547091,"K01177.01","FALSE POSITIVE",3.305577989,180.68154
3869825,"K01178.01","FALSE POSITIVE",4.800653901,134.365782
3655332,"K01179.01","FALSE POSITIVE",15.06649901,140.654788
4042026,"K01180.01","FALSE POSITIVE",34.82008158,163.015559
3344419,"K01181.01","FALSE POSITIVE",0.651784374,133.111707
11192141,"K00977.01","FALSE POSITIVE",1.353771892,261.43662
11494130,"K00978.01","FALSE POSITIVE",18.95491633,262.46677
5648449,"K00979.01","FALSE POSITIVE",4.348866254,262.72768
12167361,"K00980.01","FALSE POSITIVE",47.93094546,179.096467
8607720,"K00981.01","FALSE POSITIVE",3.99751422,261.7243
1433962,"K00982.01","FALSE POSITIVE",1.592633181,133.9243804
9032900,"K00134.01","CONFIRMED",67.5923754,151.75056
5956342,"K01052.01","CONFIRMED",17.02902786,143.33395
5956342,"K01052.02","CONFIRMED",6.84619236,132.17265
5956342,"K01052.03","CONFIRMED",67.8321638,125.881
5956342,"K01052.04","CONFIRMED",43.1312147,166.26105
5956656,"K01053.01","CONFIRMED",1.224866441,133.20824
3109930,"K01112.01","CONFIRMED",37.8102649,158.35799
2854914,"K01113.01","CONFIRMED",25.93406406,149.76273
2854914,"K01113.02","CONFIRMED",83.4463485,158.68061
3337425,"K01114.01","FALSE POSITIVE",7.04710032,139.79737
3116412,"K01115.01","CONFIRMED",12.99204853,136.32016
3865567,"K01182.01","FALSE POSITIVE",11.11620211,133.100575
3544689,"K01183.01","FALSE POSITIVE",1.922861499,134.658644
4037164,"K01184.01","FALSE POSITIVE",0.635445336,134.184037
3443790,"K01185.01","FALSE POSITIVE",1.665784138,133.863028
3966912,"K01186.01","FALSE POSITIVE",55.6639167,156.35017
8394721,"K00152.01","CONFIRMED",52.09081627,158.744665
11607193,"K00983.01","FALSE POSITIVE",7.1548608,266.04847
