,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
"flux__fft_coefficient__attr_""abs""__coeff_87",-0.08608297,-0.028917594,0.058755968,-0.098929666,-0.0041957377,0.008032478,-0.04924841,0.035322763,-0.068322845,-0.07462138,0.051242985
"flux__fft_coefficient__attr_""abs""__coeff_86",-0.08541405,-0.030571671,0.05666335,-0.094857596,-0.0040954407,0.011913669,-0.047133908,0.037878115,-0.059179675,-0.08404271,0.051175017
flux__longest_strike_above_mean,-0.049337342,0.019438565,-0.102506205,-0.023751207,-0.085467055,-0.06264992,0.039236154,-0.022046456,-0.017531293,-0.087335445,0.050929964
"flux__fft_coefficient__attr_""abs""__coeff_16",-0.084526606,0.010968826,-0.049362782,0.13429573,-0.0036386224,-0.030599141,-0.08777359,0.07891216,0.004182417,-0.024191065,0.050845098
flux__index_mass_quantile__q_0.6,-0.056633368,0.13431059,0.0038030248,-0.03444835,0.10550631,0.022632835,0.12169359,0.012923703,0.015143031,0.0012510283,0.050834585
"flux__linear_trend__attr_""rvalue""",-0.004813281,0.003791752,-0.0029351318,-0.0019190122,0.1216348,-0.0978539,0.10198359,0.12171404,0.012545604,-0.038067844,0.0507259
"flux__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",-0.050507624,0.16477108,-0.018675705,-0.009498882,0.029677967,0.051409665,0.039907433,-0.06653969,0.037497565,0.037067052,0.050555266
flux__number_peaks__n_50,0.021267919,-0.013956038,0.13374756,0.087954745,0.083601184,0.0991689,-0.0070128655,0.013974755,0.020636905,-0.022579718,0.050390057
"flux__fft_coefficient__attr_""abs""__coeff_43",-0.09269555,-0.06721949,0.009240549,0.032815356,0.014590763,-0.014523282,0.037511244,-0.089138895,-0.07599312,0.0687261,0.050245434
"flux__fft_aggregated__aggtype_""variance""",-0.080896325,0.021332167,0.065007575,-0.099240616,-0.024920808,-0.0032911852,-0.06287078,0.09116464,-0.04741332,-0.004229139,0.050036658
"flux__fft_coefficient__attr_""abs""__coeff_47",-0.08764109,-0.06086862,0.02052229,0.005563074,0.018296206,-0.019461263,0.02688658,-0.09600405,-0.084598556,0.07884847,0.049869023
"flux__fft_coefficient__attr_""abs""__coeff_10",-0.08518551,0.08403628,-0.04298949,0.08858439,0.0012538759,0.017637983,-0.08521859,0.054266963,0.004662925,-0.03351879,0.049735483
"flux__fft_coefficient__attr_""abs""__coeff_67",-0.08953558,-0.04998531,0.041645575,-0.05451999,-0.0072576012,-0.009535891,0.014841533,-0.02467854,0.17008728,-0.03485775,0.0496945
flux__ratio_beyond_r_sigma__r_0.5,0.046291977,0.037475374,0.19109981,0.068049185,-0.016204065,-0.04485104,0.004481171,-0.040219154,0.010801996,0.035739284,0.049521305
"flux__fft_coefficient__attr_""abs""__coeff_66",-0.07706102,-0.03977401,0.040174037,-0.058283675,-0.013775758,-0.004534865,0.0074024484,-0.020302942,0.21522689,-0.016040493,0.049257614
"flux__fft_coefficient__attr_""abs""__coeff_64",-0.08455025,-0.05003816,0.036713015,-0.04831518,-0.0135818785,-0.0002636374,0.007879601,-0.031862084,0.1922559,-0.01995676,0.048541646
flux__ratio_beyond_r_sigma__r_7,-0.037266813,-0.07492234,-0.11606332,-0.0116426665,0.040343087,0.06612245,0.024858387,0.021307966,0.026671726,-0.064552635,0.048375137
flux__large_standard_deviation__r_0.1,-0.001936664,0.06423202,0.12541342,0.07165453,-0.080286585,-0.079494536,0.009358602,-0.0024151956,-0.03655097,0.012371069,0.048371363
"flux__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",-0.01643425,0.041444983,0.015438162,0.0059270314,-0.13465682,-0.13506255,0.037309308,-0.022044748,-0.03757806,-0.035420563,0.04813165
"flux__fft_coefficient__attr_""abs""__coeff_49",-0.083708785,-0.055613924,0.021973833,-0.002553797,0.01589914,-0.021281188,0.029447187,-0.090885416,-0.06441481,0.09390077,0.047967885
flux__spkt_welch_density__coeff_8,-0.06994026,0.010870842,-0.048085753,0.14493717,-0.013083766,-0.002012383,-0.057544358,0.11187271,-0.008949882,0.012318627,0.047961574
"flux__fft_coefficient__attr_""abs""__coeff_65",-0.08779249,-0.049652953,0.040923994,-0.052265108,-0.0072249947,-0.014047954,0.010773858,-0.020105531,0.18686281,-0.009516029,0.047916576
"flux__fft_coefficient__attr_""abs""__coeff_69",-0.091272384,-0.049495548,0.04280995,-0.05693034,-0.006404326,-0.0074128867,0.013305955,-0.017792622,0.1484746,-0.04457173,0.047847036
flux__sum_of_reoccurring_values,0.03210698,-0.022093479,0.088738605,0.057520628,0.10510035,0.114679895,-0.007803858,-0.0021780063,0.022794453,-0.025340902,0.04783572
"flux__fft_coefficient__attr_""abs""__coeff_9",-0.08281768,0.092273876,-0.032884993,0.05066261,-0.009771614,0.0638685,0.025818655,0.068778664,-0.030407479,-0.020334143,0.04776182
"flux__fft_coefficient__attr_""abs""__coeff_70",-0.087988816,-0.046889305,0.045127705,-0.065383665,-0.015091006,-0.0045118346,-0.00034500312,-0.005582846,0.15294732,-0.050814763,0.047468223
flux__energy_ratio_by_chunks__num_segments_10__segment_focus_7,-0.05914925,0.14177172,-0.0063670697,-0.03139374,0.07957352,0.008147841,0.058895532,-0.012882169,0.042120997,0.03396282,0.047426466
